indicator_col	nfhs_plain_label	category	condition_or_topic	symptoms	specialties	direction	confidence	edge_basis
w15_plus_with_mildly_high_bp_sys_140_159_mmhg_and_or_dia_90_pct	Women age 15+ with mildly high (Stage 1) blood pressure (systolic 140-159 mmHg and/or diastolic 90-99 mmHg) (%)	condition	Stage 1 hypertension (women)	usually no symptoms|occasional headaches|mild dizziness	internalmedicine|familymedicine|cardiology	high_pct_bad	high	Stage 1 HTN is commonly asymptomatic; managed first-line in primary care (internal/family med), cardiology for risk stratification.
w15_plus_with_moderately_or_severely_high_bp_sys_gte_160_mm_pct	Women age 15+ with moderately or severely high (Stage 2) blood pressure (systolic >=160 mmHg and/or diastolic >=100 mmHg) (%)	condition	Stage 2 hypertension (women)	severe headache|chest discomfort|shortness of breath|blurred vision|nosebleeds	cardiology|internalmedicine|nephrology	high_pct_bad	high	Stage 2 HTN: higher cardiovascular/renal/stroke risk, cardiology-led; nephrology for renal involvement/secondary causes.
w15_plus_with_high_bp_sys_gte_140_mmhg_and_or_dia_gte_90_mm_pct	Women age 15+ with high blood pressure (systolic >=140 mmHg and/or diastolic >=90 mmHg) or on medication (%)	condition	Hypertension, any (women)	often no symptoms|headache|dizziness|shortness of breath	internalmedicine|cardiology|familymedicine	high_pct_bad	high	Composite any-HTN prevalence; often asymptomatic. Primary care + cardiology standard management.
m15_plus_with_mildly_high_bp_sys_140_159_mmhg_and_or_dia_90_pct	Men age 15+ with mildly high (Stage 1) blood pressure (systolic 140-159 mmHg and/or diastolic 90-99 mmHg) (%)	condition	Stage 1 hypertension (men)	usually no symptoms|occasional headaches|mild dizziness	internalmedicine|familymedicine|cardiology	high_pct_bad	high	Stage 1 HTN is commonly asymptomatic; managed first-line in primary care, cardiology for risk stratification.
m15_plus_with_moderately_or_severely_high_bp_sys_gte_160_mm_pct	Men age 15+ with moderately or severely high (Stage 2) blood pressure (systolic >=160 mmHg and/or diastolic >=100 mmHg) (%)	condition	Stage 2 hypertension (men)	severe headache|chest discomfort|shortness of breath|blurred vision|nosebleeds	cardiology|internalmedicine|nephrology	high_pct_bad	high	Stage 2 HTN: higher cardiovascular/renal/stroke risk, cardiology-led; nephrology for renal involvement/secondary causes.
m15_plus_with_high_bp_sys_gte_140_mmhg_and_or_dia_gte_90_mm_pct	Men age 15+ with high blood pressure (systolic >=140 mmHg and/or diastolic >=90 mmHg) or on medication (%)	condition	Hypertension, any (men)	often no symptoms|headache|dizziness|shortness of breath	internalmedicine|cardiology|familymedicine	high_pct_bad	high	Composite any-HTN prevalence; often asymptomatic. Primary care + cardiology standard management.
women_age_15_years_and_above_with_high_141_160_mg_dl_blood_pct	Women age 15+ with high (141-160 mg/dL) random blood sugar level (%)	condition	Hyperglycemia / pre-diabetes range (women)	increased thirst|frequent urination|constant tiredness|blurred vision	endocrinologyanddiabetesandmetabolism|internalmedicine|familymedicine	high_pct_bad	high	Elevated random glucose flags impaired glucose regulation/early diabetes; endocrinology + primary care.
w15_plus_with_very_high_gt_160_mg_dl_blood_sugar_pct	Women age 15+ with very high (>160 mg/dL) random blood sugar level (%)	condition	Diabetes-range hyperglycemia (women)	excessive thirst|frequent urination|unexplained weight loss|extreme tiredness|blurred vision|slow-healing sores	endocrinologyanddiabetesandmetabolism|internalmedicine|nephrology	high_pct_bad	high	Very high glucose indicates likely diabetes; endocrinology-led, nephrology for diabetic kidney complications.
w15_plus_with_high_or_very_high_gt_140_mg_dl_blood_sugar_or_pct	Women age 15+ with high or very high (>140 mg/dL) random blood sugar level or on medicine to control blood sugar (%)	condition	Diabetes mellitus, any (women)	increased thirst|frequent urination|fatigue|blurred vision|tingling in hands or feet	endocrinologyanddiabetesandmetabolism|internalmedicine|familymedicine	high_pct_bad	high	Composite any-diabetes prevalence (>140 mg/dL or on meds); endocrinology + primary care.
m15_plus_with_high_141_160_mg_dl_blood_sugar_pct	Men age 15+ with high (141-160 mg/dL) random blood sugar level (%)	condition	Hyperglycemia / pre-diabetes range (men)	increased thirst|frequent urination|constant tiredness|blurred vision	endocrinologyanddiabetesandmetabolism|internalmedicine|familymedicine	high_pct_bad	high	Elevated random glucose flags impaired glucose regulation/early diabetes; endocrinology + primary care.
